PackageName,Total Lines,Total Words,Total Tokens,Total URLs,Total Base64,Total IPs,Bracket Mean,Bracket Std Dev,Bracket Max,Bracket Q3,Equal Mean,Equal Std Dev,Equal Max,Equal Q3,Plus Mean,Plus Std Dev,Plus Max,Plus Q3,Identifier Entropy Mean,Identifier Entropy Std Dev,Identifier Entropy Max,Identifier Entropy Q3,String Entropy Mean,String Entropy Std Dev,String Entropy Max,String Entropy Q3,Homogeneous Identifiers,Heterogeneous Identifiers,Homogeneous Strings,Heterogeneous Strings,Setup Total Lines,Setup Total Words,Setup Total Tokens,Setup Total URLs,Setup Total Base64,Setup Total IPs,Setup Identifier Entropy Mean,Setup Identifier Entropy Std Dev,Setup Identifier Entropy Max,Setup Identifier Entropy Q3,Setup String Entropy Mean,Setup String Entropy Std Dev,Setup String Entropy Max,Setup String Entropy Q3,Setup Homogeneous Identifiers,Setup Heterogeneous Identifiers,Setup Homogeneous Strings,Setup Heterogeneous Strings,Total Install Script in .py,Total Dangerous Install Commands Count,BAT Count,BZ2 Count,C Count,CERT Count,CONF Count,CPP Count,CRT Count,CSS Count,CSV Count,DEB Count,ERB Count,GEMSPEC Count,GIF Count,GZ Count,H Count,HTML Count,ICO Count,INI Count,JAR Count,JAVA Count,JPG Count,JS Count,JSON Count,KEY Count,M4V Count,MARKDOWN Count,MD Count,PDF Count,PEM Count,PNG Count,PS Count,PY Count,RB Count,RPM Count,RST Count,SH Count,SVG Count,TOML Count,TTF Count,TXT Count,XML Count,YAML Count,YML Count,EOT Count,EXE Count,JPEG Count,PROPERTIES Count,SQL Count,SWF Count,TAR Count,WOFF Count,WOFF2 Count,AAC Count,BMP Count,CFG Count,DCM Count,DLL Count,DOC Count,FLAC Count,FLV Count,IPYNB Count,M4A Count,MID Count,MKV Count,MP3 Count,MP4 Count,MPG Count,OGG Count,OTF Count,PICKLE Count,PKL Count,PSD Count,PXD Count,PXI Count,PYC Count,PYX Count,R Count,RTF Count,SO Count,SQLITE Count,TIF Count,TP Count,WAV Count,WEBP Count,WHL Count,XCF Count,XZ Count,ZIP Count,MOV Count,WASM Count,WEBM Count
cs_deco-20241109,4549,18234,12,12,141,0,18.545454545454547,27.786196703988246,88,22.0,45.18181818181818,65.79334036483964,214,65.0,2.4545454545454546,5.007267445696033,17,3.0,1.9622902739545354,0.822029824450071,3.916126946588283,2.584962500721156,2.2390204969111918,1.4563958812983369,4.597082818407665,3.375,17362,1179,124,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ctransformers-0.2.27,65152,246724,176,146,296,0,263.5945945945946,914.8729220673356,5941,106.0,302.7027027027027,1015.2326237205776,7452,123.25,116.8108108108108,436.02751187786544,3178,25.25,2.0109251898324585,0.936336817679666,4.2165910625904335,2.584962500721156,2.682140620504958,1.1918080089257976,4.879588198605473,3.6292196865240967,144787,69576,464,2755,71,188,1,1,2,0,2.2481612755416953,0.7840273042257111,3.6841837197791887,2.807354922057604,3.2899614576696496,0.5953823266968873,3.6841837197791887,3.6790209785354553,177,22,7,36,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,0,0,0,3,0,1,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cufflinks-0.17.3,9766,27669,53,24,1353,0,129.31428571428572,260.8507316487356,860,97.0,102.34285714285714,225.29927062584517,952,82.0,4.942857142857143,9.123153663789141,30,4.0,1.9596017215220074,0.8177705717302252,3.8365916681089787,2.584962500721156,2.2948358266589772,1.0718882948000872,4.671237464174616,2.9477027792200903,33283,3344,3964,2239,66,172,1,1,3,0,2.3039292745356184,0.6478069713024951,3.640223928941851,2.722816210414989,3.180898748376088,0.9323317631412245,3.8401568604088583,3.8401568604088583,166,24,8,13,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,19,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cupy-13.3.0,667233,2455280,8685,3407,11167,71,30.35796583234009,92.32210253868882,972,14.0,58.035756853396904,132.14566380849428,1434,46.0,11.95113230035757,53.95803361505049,1074,6.0,2.0499229825778995,0.9219237429028441,4.823657859783938,2.663532754804255,2.0037198516144326,1.4691671879368349,4.923181998146335,3.3140154482997173,1973139,489522,24601,32845,3051,12809,41,33,111,0,2.2494512484718543,0.587121557711641,3.9779168746936358,2.584962500721156,1.9638984748271635,1.1640803757073988,4.150643233958086,2.584962500721156,12268,2235,128,205,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1230,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,705,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,6,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
curio-1.6,21969,73397,218,60,638,14,12.507936507936508,31.5058714608553,248,10.0,35.23015873015873,50.02689879629361,231,48.5,3.7936507936507935,13.912479267372849,101,2.0,1.8766924220037913,0.8600007707329301,5.413909765557392,2.521640636343318,2.366996085329868,1.35943775337249,6.914975650450411,3.238901256602631,76785,6913,749,2323,64,165,1,1,4,0,2.171644532558916,0.6729856158804616,3.640223928941852,2.584962500721156,2.653287112345528,1.5108391547761568,3.7216117239699007,3.7216117239699007,145,28,7,15,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,97,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
curlify-2.2.1,224,778,13,7,8,0,1.8461538461538463,4.278748918514886,14,1.0,2.230769230769231,4.657500154837109,14,2.0,0.38461538461538464,1.3867504905630728,5,0.0,2.037810808057345,0.8019939991108093,3.5219280948873624,2.584962500721156,2.784747708266065,1.3276709025568219,4.337175341123076,3.869913313553605,781,23,10,40,55,132,2,1,3,0,2.1349516732191227,0.7021843178186826,3.5219280948873624,2.584962500721156,2.321928094887362,0,2.321928094887362,2.321928094887362,134,8,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
curl_cffi-0.9.0,17170,61227,554,320,821,34,38.61194029850746,82.50729172989769,558,50.0,78.74626865671642,133.8185500665985,705,112.0,7.895522388059701,49.991555143922305,403,1.0,2.1053878905899333,0.8476841343731139,5.700439718141095,2.721928094887362,2.2192520706213648,1.3024000669146638,5.700439718141095,3.23895042194917,51030,9408,1447,2347,205,718,4,1,16,0,2.1851891695960477,0.7319083412316149,3.6416041678685933,2.584962500721156,2.394834677475878,0.8486773976057552,3.277613436819116,3.277613436819116,731,52,53,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,36,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cursor-1.3.5,1097,6926,52,41,7,0,6.153846153846154,8.224416431639733,20,14.0,3.5384615384615383,7.467879938056769,23,2.5,0,0.0,0,0.0,1.9313435713537161,0.7542365288599817,3.7004397181410926,2.5216406363433186,2.8887291251591702,0.7918518570031282,4.415623587245975,3.454033407765969,7117,59,29,47,34,122,1,1,6,0,2.2370290640616677,0.7152892310219607,3.625,2.7219280948873625,3.1919433878093746,0.08440843896065228,3.2516291673878226,3.2516291673878226,106,13,9,16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
customtkinter-5.2.2,15686,49203,18,18,795,0,63.193548387096776,126.25252326122235,802,75.5,83.70967741935483,109.77583524242904,497,165.25,45.70967741935484,221.31095156331835,1246,4.25,1.5541079398917212,1.1901902353990699,5.131325153396715,2.5216406363433186,2.5056231195762684,1.2224982149804497,5.966165745919462,3.292770193936991,57278,13378,1427,3919,167,587,1,1,14,0,2.4177595072624842,0.7471269045392468,3.943465189601646,2.9219280948873623,3.0115880393390095,1.2442614445868292,4.61889662133006,3.7254805569978675,577,92,13,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,43,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cutadapt-5.0,25585,87231,182,147,1282,0,10.107033639143731,37.35484191078643,366,0.0,29.926605504587155,168.48586111086675,2806,7.0,4.01223241590214,10.808135862823558,108,4.0,1.9461560838746732,0.8379843750729893,4.321928094887363,2.5216406363433186,2.1867714634159494,1.4131581564376083,6.109703246696029,3.3927474104487847,83916,9905,1719,3967,14,34,0,0,0,0,2.358069556366453,0.6465689015525651,3.2776134368191165,2.7885559143843457,3.4372270552777358,0.9971169598034945,4.142295219190901,4.142295219190901,46,10,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,46,0,0,12,0,3,1,0,13,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
