PackageName,Total Lines,Total Words,Total Tokens,Total URLs,Total Base64,Total IPs,Bracket Mean,Bracket Std Dev,Bracket Max,Bracket Q3,Equal Mean,Equal Std Dev,Equal Max,Equal Q3,Plus Mean,Plus Std Dev,Plus Max,Plus Q3,Identifier Entropy Mean,Identifier Entropy Std Dev,Identifier Entropy Max,Identifier Entropy Q3,String Entropy Mean,String Entropy Std Dev,String Entropy Max,String Entropy Q3,Homogeneous Identifiers,Heterogeneous Identifiers,Homogeneous Strings,Heterogeneous Strings,Setup Total Lines,Setup Total Words,Setup Total Tokens,Setup Total URLs,Setup Total Base64,Setup Total IPs,Setup Identifier Entropy Mean,Setup Identifier Entropy Std Dev,Setup Identifier Entropy Max,Setup Identifier Entropy Q3,Setup String Entropy Mean,Setup String Entropy Std Dev,Setup String Entropy Max,Setup String Entropy Q3,Setup Homogeneous Identifiers,Setup Heterogeneous Identifiers,Setup Homogeneous Strings,Setup Heterogeneous Strings,Total Install Script in .py,Total Dangerous Install Commands Count,BAT Count,BZ2 Count,C Count,CERT Count,CONF Count,CPP Count,CRT Count,CSS Count,CSV Count,DEB Count,ERB Count,GEMSPEC Count,GIF Count,GZ Count,H Count,HTML Count,ICO Count,INI Count,JAR Count,JAVA Count,JPG Count,JS Count,JSON Count,KEY Count,M4V Count,MARKDOWN Count,MD Count,PDF Count,PEM Count,PNG Count,PS Count,PY Count,RB Count,RPM Count,RST Count,SH Count,SVG Count,TOML Count,TTF Count,TXT Count,XML Count,YAML Count,YML Count,EOT Count,EXE Count,JPEG Count,PROPERTIES Count,SQL Count,SWF Count,TAR Count,WOFF Count,WOFF2 Count,AAC Count,BMP Count,CFG Count,DCM Count,DLL Count,DOC Count,FLAC Count,FLV Count,IPYNB Count,M4A Count,MID Count,MKV Count,MP3 Count,MP4 Count,MPG Count,OGG Count,OTF Count,PICKLE Count,PKL Count,PSD Count,PXD Count,PXI Count,PYC Count,PYX Count,R Count,RTF Count,SO Count,SQLITE Count,TIF Count,TP Count,WAV Count,WEBP Count,WHL Count,XCF Count,XZ Count,ZIP Count,MOV Count,WASM Count,WEBM Count
2023-02-27-py-getcvad-v4.15,459,2085,129,129,31,0,2.3636363636363638,3.668043818514912,10,4.0,14.818181818181818,15.829202012850692,34,34.0,0.09090909090909091,0.30151134457776363,1,0.0,1.8831105883533492,0.9670204761209521,4.175070520364181,2.6464393446710153,3.2419966845313812,0.9831713854415058,4.8921760464167505,3.9553113166340124,3078,95,47,204,36,135,0,0,2,0,2.3998045498088896,0.7231911715424717,4.150742409379382,2.880208208926884,4.007942895581381,0,4.007942895581381,4.007942895581381,101,4,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-27-py-grandnvidiagrand-v3.59,459,2085,129,129,31,0,2.3636363636363638,3.668043818514912,10,4.0,14.818181818181818,15.829202012850692,34,34.0,0.09090909090909091,0.30151134457776363,1,0.0,1.8757220464197046,0.9601485211148392,4.175070520364181,2.6464393446710153,3.245852914150217,0.9860428800689082,4.85947571973411,3.9553113166340124,3076,89,47,204,36,135,0,0,2,0,2.3991007752497158,0.7228266140284618,4.150742409379382,2.880208208926884,4.007942895581381,0,4.007942895581381,4.007942895581381,101,4,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-27-py-hackedccencode-v5.77,459,2085,129,129,31,0,2.3636363636363638,3.668043818514912,10,4.0,14.818181818181818,15.829202012850692,34,34.0,0.09090909090909091,0.30151134457776363,1,0.0,1.8775720350202147,0.9621691061086247,4.175070520364181,2.6464393446710153,3.2288852981639375,0.9941922461864381,4.877612257163098,3.9553113166340124,3076,93,47,204,36,135,0,0,2,0,2.3992910208958533,0.7229180851004343,4.150742409379382,2.880208208926884,4.007942895581381,0,4.007942895581381,4.007942895581381,101,4,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-27-py-hackedultratool-v7.16,459,2085,129,129,31,0,2.3636363636363638,3.668043818514912,10,4.0,14.636363636363637,15.876225793762995,34,34.0,0.09090909090909091,0.30151134457776363,1,0.0,1.9145652368632016,1.0044704880260595,4.175070520364181,2.6464393446710153,3.2667843436965533,0.9987331853807621,4.876222601222257,3.9900097040407405,3076,95,47,204,36,135,0,0,2,0,2.407897260147118,0.7339943686070514,4.137603781791086,2.9139770731827523,4.007942895581381,0,4.007942895581381,4.007942895581381,101,4,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-27-py-httpgrandpong-v10.18,459,2085,129,129,31,0,2.3636363636363638,3.668043818514912,10,4.0,14.818181818181818,15.829202012850692,34,34.0,0.09090909090909091,0.30151134457776363,1,0.0,1.895014435812368,0.9805774124540113,4.175070520364181,2.6464393446710153,3.236807322698904,0.9796566542948015,4.856428586446149,3.905703530585634,3076,89,47,204,36,135,0,0,2,0,2.4024493134345932,0.7252009370429111,4.150742409379382,2.9139770731827523,4.007942895581381,0,4.007942895581381,4.007942895581381,101,4,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-27-py-httphttpultra-v2.34,459,2085,129,129,31,0,2.3636363636363638,3.668043818514912,10,4.0,14.818181818181818,15.829202012850692,34,34.0,0.09090909090909091,0.30151134457776363,1,0.0,1.8626024904205816,0.9497022573456093,4.175070520364181,2.584962500721156,3.211192182861191,0.9628952334659502,4.851769331900235,3.8401568604088583,3076,89,47,204,36,135,0,0,2,0,2.3968744852481927,0.7221465658817383,4.150742409379382,2.880208208926884,4.007942895581381,0,4.007942895581381,4.007942895581381,101,4,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-27-py-httprevisa-v10.50,459,2085,129,129,31,0,2.3636363636363638,3.668043818514912,10,4.0,14.818181818181818,15.829202012850692,34,34.0,0.09090909090909091,0.30151134457776363,1,0.0,1.8982991701672698,0.984010904503709,4.175070520364181,2.6464393446710153,3.2307370805820557,0.973076469959486,4.863181262398455,3.8828142771033947,3076,91,47,204,36,135,0,0,2,0,2.4028004847882207,0.7255435072157826,4.150742409379382,2.9139770731827523,4.007942895581381,0,4.007942895581381,4.007942895581381,101,4,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-27-py-hydracontrolget-v9.17,459,2085,129,129,31,0,2.3636363636363638,3.668043818514912,10,4.0,14.818181818181818,15.829202012850692,34,34.0,0.09090909090909091,0.30151134457776363,1,0.0,1.9212593315840427,1.0170051682048855,4.175070520364181,2.6464393446710153,3.258294309237978,0.9949498929774826,4.859622604198095,3.9900097040407405,3078,99,47,204,36,135,0,0,2,0,2.406466794318898,0.7301702295676086,4.150742409379382,2.9139770731827523,4.007942895581381,0,4.007942895581381,4.007942895581381,101,4,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-27-py-hydralgtbvm-v9.93,459,2085,129,129,31,0,2.3636363636363638,3.668043818514912,10,4.0,14.818181818181818,15.829202012850692,34,34.0,0.09090909090909091,0.30151134457776363,1,0.0,1.917014337661721,1.011740599658958,4.175070520364181,2.6464393446710153,3.288580308589222,1.0463706720316586,5.017875625873007,3.9900097040407405,3078,93,47,204,36,135,0,0,2,0,2.4060148040620297,0.7294968735044028,4.150742409379382,2.9139770731827523,4.007942895581381,0,4.007942895581381,4.007942895581381,101,4,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-27-py-hydrasupernvidia-v3.77,459,2085,129,129,31,0,2.3636363636363638,3.668043818514912,10,4.0,14.818181818181818,15.829202012850692,34,34.0,0.09090909090909091,0.30151134457776363,1,0.0,1.9218118323972253,1.015107168270976,4.175070520364181,2.6464393446710153,3.2591225248804854,1.0064593734997112,4.873137883932802,3.9900097040407405,3078,97,47,204,36,135,0,0,2,0,2.4064011695988174,0.7300706798538661,4.150742409379382,2.9139770731827523,4.007942895581381,0,4.007942895581381,4.007942895581381,101,4,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-27-py-infoliblgtb-v1.39,459,2085,129,129,31,0,2.3636363636363638,3.668043818514912,10,4.0,14.818181818181818,15.829202012850692,34,34.0,0.09090909090909091,0.30151134457776363,1,0.0,1.90658779998709,0.9957264508085422,4.175070520364181,2.6464393446710153,3.304626250950147,1.041222544163591,4.995616204356209,3.9900097040407405,3078,91,47,204,36,135,0,0,2,0,2.404283202330428,0.7271844673504335,4.150742409379382,2.9139770731827523,4.007942895581381,0,4.007942895581381,4.007942895581381,101,4,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-27-py-intelcpusuper-v6.44,459,2085,129,129,31,0,2.3636363636363638,3.668043818514912,10,4.0,14.818181818181818,15.829202012850692,34,34.0,0.09090909090909091,0.30151134457776363,1,0.0,1.9035330893547182,0.9915261532737704,4.175070520364181,2.6464393446710153,3.240173535788375,0.9963202558332038,4.8869192094067335,3.963374944649056,3076,89,47,204,36,135,0,0,2,0,2.4039145148997947,0.7267471076332795,4.150742409379382,2.9139770731827523,4.007942895581381,0,4.007942895581381,4.007942895581381,101,4,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-27-py-intverpyw-v8.14,459,2085,129,129,31,0,2.3636363636363638,3.668043818514912,10,4.0,14.818181818181818,15.829202012850692,34,34.0,0.09090909090909091,0.30151134457776363,1,0.0,1.8995303476983256,0.9862126694216068,4.175070520364181,2.6464393446710153,3.2443684404405966,0.9864487436681045,4.884807463571649,3.938654716746413,3076,89,47,204,36,135,0,0,2,0,2.4032575981839823,0.726015900799102,4.150742409379382,2.9139770731827523,4.007942895581381,0,4.007942895581381,4.007942895581381,101,4,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
